domain,https,issuer,expires,self_signed
exlibrisgroup.com,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-08-08,No
org.ru,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-20,No
onet.pl,Yes,"CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2026-11-05,No
hypotheses.org,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-08-03,No
cam.ac.uk,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-08-26,No
appspot.com,Yes,"CN=WR2,O=Google Trust Services,C=US",2026-08-10,No
playstation.com,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-06-12,No
24tv.ua,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-08-18,No
linternaute.com,Yes,"CN=Sectigo Public Server Authentication CA DV R36,O=Sectigo Limited,C=GB",2026-12-08,No
cornell.edu,Yes,"CN=InCommon RSA Server CA 2,O=Internet2,C=US",2026-07-02,No
sapo.pt,Yes,"CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2026-11-07,No
jd.com,Yes,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",2026-12-20,No
ibm.com,Yes,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1,O=DigiCert Inc,C=US",2026-10-17,No
fedoraproject.org,Yes,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1,O=DigiCert Inc,C=US",2026-10-26,No
archlinux.org,Yes,"CN=E7,O=Let's Encrypt,C=US",2026-07-12,No
un.org,Yes,"CN=COMODO RSA Organization Validation Secure Server CA,O=COMODO CA Limited,L=Salford,ST=Greater Manchester,C=GB",2026-09-05,No
unibo.it,Yes,"CN=GEANT TLS RSA 1,O=Hellenic Academic and Research Institutions CA,C=GR",2026-08-18,No
wikibooks.org,Yes,"CN=E7,O=Let's Encrypt,C=US",2026-07-06,No
uefa.com,Yes,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US",2027-02-06,No
uni-heidelberg.de,Yes,"CN=GEANT TLS RSA 1,O=Hellenic Academic and Research Institutions CA,C=GR",2026-12-12,No
redhat.com,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-09-16,No
kayak.com,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-30,No
semrush.com,Yes,"CN=WR3,O=Google Trust Services,C=US",2026-08-24,No
upenn.edu,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-07-05,No
trip.com,Yes,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",2026-08-30,No
canada.ca,Yes,"CN=Entrust OV TLS Issuing RSA CA 2,O=Entrust Limited,C=CA",2027-02-14,No
docomo.ne.jp,Yes,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",2026-10-28,No
ceskatelevize.cz,Yes,"CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2026-06-27,No
wikiquote.org,Yes,"CN=E7,O=Let's Encrypt,C=US",2026-07-06,No
livejournal.com,Yes,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",2027-03-28,No
hse.ru,Yes,"CN=GlobalSign GCC R6 AlphaSSL CA 2025,O=GlobalSign nv-sa,C=BE",2027-03-29,No
academic.ru,Yes,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",2026-06-21,No
wa.gov,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-21,No
hatena.ne.jp,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2026-10-10,No
ub.edu,Yes,"CN=GEANT TLS RSA 1,O=Hellenic Academic and Research Institutions CA,C=GR",2026-11-14,No
hawaii.edu,Yes,"CN=InCommon RSA Server CA 2,O=Internet2,C=US",2026-11-07,No
hateblo.jp,Yes,"CN=Amazon RSA 2048 M03,O=Amazon,C=US",2026-08-09,No
victoriassecret.com,Yes,"CN=Sectigo Public Server Authentication CA OV R36,O=Sectigo Limited,C=GB",2026-11-27,No
washington.edu,Yes,"CN=InCommon RSA Server CA 2,O=Internet2,C=US",2026-07-09,No
hm.com,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-09-15,No
antaranews.com,Yes,"CN=Sectigo Public Server Authentication CA DV R36,O=Sectigo Limited,C=GB",2026-08-29,No
gouv.qc.ca,No,DNS_ERROR (domain not resolved),,
err.ee,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-07-18,No
globalvoices.org,Yes,"CN=Sectigo Public Server Authentication CA DV R36,O=Sectigo Limited,C=GB",2026-10-31,No
chinadaily.com.cn,Yes,"CN=WoTrus RSA OV SSL CA 2,O=WoTrus CA Limited,C=CN",2027-02-12,No
telegra.ph,Yes,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US",2026-10-22,No
talent.com,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2027-01-22,No
utoronto.ca,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-24,No
shop-pro.jp,Yes,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",2027-03-17,No
livedoor.blog,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-08-19,No
poznan.pl,Yes,"CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2026-11-26,No
nicovideo.jp,Yes,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",2026-12-13,No
ru-best.com,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-16,No
finalsite.net,No,TIMEOUT,,
uscourts.gov,Yes,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1,O=DigiCert Inc,C=US",2026-11-26,No
foursquare.com,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-18,No
ria.ru,Yes,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",2026-06-20,No
frontiersin.org,Yes,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US",2026-11-28,No
wix.com,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-07-19,No
tradingview.com,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2027-01-10,No
ndl.go.jp,Yes,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",2027-01-10,No
uk.com,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-08-22,No
yorku.ca,Yes,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",2026-09-26,No
army.mil,No,DNS_ERROR (domain not resolved),,
univie.ac.at,Yes,"CN=GEANT TLS RSA 1,O=Hellenic Academic and Research Institutions CA,C=GR",2026-06-20,No
telegram.org,Yes,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US",2026-09-12,No
rutgers.edu,Yes,"CN=InCommon RSA Server CA 2,O=Internet2,C=US",2026-10-01,No
t.me,Yes,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US",2026-11-22,No
sch.gr,Yes,"CN=HARICA Institutional TLS RSA 2,O=Hellenic Academic and Research Institutions CA,C=GR",2027-01-07,No
elespanol.com,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2026-11-15,No
vietnamplus.vn,Yes,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2026-07-28,No
motorsport.com,Yes,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",2026-11-26,No
gva.es,No,DNS_ERROR (domain not resolved),,
siemens.com,Yes,"CN=Amazon ECDSA 256 M01,O=Amazon,C=US",2027-02-13,No
apache.org,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-13,No
muni.cz,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-08-10,No
chinaz.com,Yes,"CN=TrustAsia DV TLS RSA CA 2025,O=TrustAsia Technologies\, Inc.,C=CN",2026-08-08,No
nyu.edu,Yes,"CN=InCommon RSA Server CA 2,O=Internet2,C=US",2026-10-08,No
www.gov.uk,Yes,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",2026-12-28,No
google.cn,Yes,"CN=WR2,O=Google Trust Services,C=US",2026-08-10,No
idnes.cz,Yes,"CN=Sectigo Public Server Authentication CA DV E36,O=Sectigo Limited,C=GB",2027-02-08,No
utexas.edu,Yes,"CN=YR1,O=Let's Encrypt,C=US",2026-09-01,No
umn.edu,Yes,"CN=InCommon RSA Server CA 2,O=Internet2,C=US",2026-11-05,No
arizona.edu,Yes,"CN=Certainly Intermediate R1,O=Certainly,C=US",2026-07-03,No
iol.pt,Yes,"CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2026-10-23,No
msu.edu,Yes,"CN=GlobalSign Atlas R3 DV TLS CA 2026 Q1,O=GlobalSign nv-sa,C=BE",2026-06-28,No
princeton.edu,Yes,"CN=InCommon RSA OV SSL CA 3,O=InCommon\, LLC,C=US",2026-12-12,No
umd.edu,Yes,"CN=YE2,O=Let's Encrypt,C=US",2026-09-01,No
yahoo.com,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-08-26,No
marketscreener.com,Yes,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",2026-11-26,No
wikinews.org,Yes,"CN=E7,O=Let's Encrypt,C=US",2026-07-06,No
aliyun.com,Yes,"CN=GlobalSign GCC R3 OV TLS CA 2024,O=GlobalSign nv-sa,C=BE",2026-09-05,No
hp.com,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-06-10,No
walkerplus.com,Yes,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",2026-11-27,No
azurewebsites.net,No,DNS_ERROR (domain not resolved),,
ucla.edu,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2026-09-16,No
r-project.org,Yes,"CN=Sectigo Public Server Authentication CA DV R36,O=Sectigo Limited,C=GB",2027-01-16,No
iastate.edu,Yes,"CN=InCommon ECC Server CA 2,O=Internet2,C=US",2026-06-29,No
people.com.cn,No,TIMEOUT,,
ucm.es,Yes,"CN=GEANT TLS RSA 1,O=Hellenic Academic and Research Institutions CA,C=GR",2026-12-04,No
libretexts.org,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-07-27,No
columbia.edu,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-08-15,No
buzzsprout.com,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-08-13,No
workplace.com,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-06-12,No
cnr.it,Yes,"CN=GEANT TLS RSA 1,O=Hellenic Academic and Research Institutions CA,C=GR",2026-11-21,No
youtube-nocookie.com,Yes,"CN=WR2,O=Google Trust Services,C=US",2026-08-10,No
bubblelife.com,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2026-09-11,No
vecteezy.com,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-08-14,No
interfax.com.ua,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-07-19,No
hugedomains.com,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-07-22,No
purdue.edu,Yes,"CN=InCommon RSA OV SSL CA 3,O=InCommon\, LLC,C=US",2026-11-27,No
ucsb.edu,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-07-24,No
senate.gov,Yes,"CN=DigiCert EV RSA CA G2,O=DigiCert Inc,C=US",2026-12-12,No
espn.com,Yes,"CN=Sectigo Public Server Authentication CA OV R36,O=Sectigo Limited,C=GB",2026-11-10,No
wroc.pl,No,DNS_ERROR (domain not resolved),,
atlassian.com,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2026-11-13,No
uni-bonn.de,Yes,"CN=YE1,O=Let's Encrypt,C=US",2026-09-02,No
cern.ch,Yes,"CN=Sectigo Public Server Authentication CA OV R36,O=Sectigo Limited,C=GB",2026-11-24,No
mn.gov,Yes,"CN=Sectigo Public Server Authentication CA EV R36,O=Sectigo Limited,C=GB",2026-10-10,No
weblio.jp,Yes,"CN=GlobalSign Atlas R3 OV TLS CA 2025 Q4,O=GlobalSign nv-sa,C=BE",2027-01-06,No
virginia.gov,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-09-13,No
er.ru,Yes,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",2026-12-13,No
lodz.pl,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-08-25,No
interia.pl,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-08-08,No
nrw.de,No,SSL_ERROR,,
anu.edu.au,Yes,"CN=Sectigo Public Server Authentication CA OV R36,O=Sectigo Limited,C=GB",2026-07-15,No
tengrinews.kz,Yes,"CN=E7,O=Let's Encrypt,C=US",2026-06-13,No
snu.ac.kr,Yes,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",2026-07-15,No
unsplash.com,Yes,"CN=GlobalSign Atlas R3 DV TLS CA 2025 Q4,O=GlobalSign nv-sa,C=BE",2027-01-09,No
in.gov,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-09-24,No
